version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 659949029828 eni-05a1ae44ffa237282 35.172.155.193 10.0.42.239 44269 22 6 39 3512 1724168237 1724168263 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.193 10.0.42.239 55140 22 6 502 535053 1724168237 1724168263 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.194 10.0.42.239 44300 22 6 389 522577 1724168237 1724168263 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 65.49.1.115 10.0.42.239 59786 1200 6 1 40 1724168269 1724168287 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.194 10.0.42.239 4684 22 6 4 304 1724168269 1724168287 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.192 22 3612 6 27 5373 1724168269 1724168287 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.192 10.0.42.239 56792 22 6 5 244 1724168269 1724168287 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.192 10.0.42.239 3612 22 6 25 7129 1724168269 1724168287 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.192 22 56792 6 4 257 1724168269 1724168287 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.194 22 4684 6 2 104 1724168269 1724168287 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 95.214.27.29 10.0.42.239 57236 5678 6 1 40 1724168269 1724168287 REJECT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.193 10.0.45.111 17903 22 6 922 638245 1724168288 1724168306 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.193 22 9605 6 4 237 1724168288 1724168306 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.193 22 17903 6 1141 899677 1724168288 1724168306 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 79.110.62.137 10.0.45.111 45366 55257 6 1 40 1724168288 1724168306 REJECT OK
2 659949029828 eni-0614c6b99754808d6 79.110.62.137 10.0.45.111 45366 62097 6 1 40 1724168288 1724168306 REJECT OK
2 659949029828 eni-0614c6b99754808d6 137.184.197.228 10.0.45.111 43616 5432 6 1 52 1724168288 1724168306 REJECT OK
2 659949029828 eni-0614c6b99754808d6 194.26.29.155 10.0.45.111 45442 10285 6 1 40 1724168288 1724168306 REJECT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.193 10.0.45.111 9605 22 6 5 244 1724168288 1724168306 ACCEPT OK
